,Shortest time,Shortest time,Shortest time,Shortest time,Shortest time,Solving time in ms,Solving time in ms,Solving time in ms
,maze_size,NearestNeighbour,Dijkstra,AntColony,AntColony-Error,NearestNeighbour,Dijkstra,AntColony
0,4,18,18.0,18,0,0.0,0.0,126.14
1,6,79,33.0,33,1,0.0,0.96,200.42
2,8,59,37.0,37,6,0.92,0.0,298.11
3,10,214,57.0,57,7,1.0,1.0,389.05
4,12,95,54.0,57,16,1.99,2.06,512.23
5,14,289,71.0,79,22,1.0,1.98,615.03
6,16,113,60.0,72,47,1.0,2.99,786.98
7,18,404,74.0,100,53,0.96,4.99,1108.59
8,20,406,82.0,95,81,7.94,4.99,2719.09
9,22,885,93.0,136,193,5.01,6.08,3762.88
10,24,639,124.0,200,280,3.03,7.98,5356.36
11,26,404,126.0,223,297,29.93,14.96,7552.03
12,28,1000,138.0,247,313,10.97,16.04,9171.99
13,30,963,120.0,260,340,7.98,43.88,11135.97
